temperature,humidity,smoke_gas_level,flame_detected,label
24.6,54.9,300,0,False Alarm
36.7,47.7,241,0,False Alarm
32,57.7,298,0,False Alarm
28.5,62.7,110,0,False Alarm
30.2,49,205,0,False Alarm
22.2,76.5,175,0,False Alarm
26.2,66.5,276,1,False Alarm
24.5,70.9,114,0,False Alarm
22,72.4,99,0,False Alarm
26.3,48.4,152,0,False Alarm
35.7,65.5,149,0,False Alarm
23.4,79,230,0,False Alarm
23.2,79.9,269,0,False Alarm
22.5,53.4,286,0,False Alarm
36.2,48.9,256,0,False Alarm
26.1,67.9,248,0,False Alarm
25.6,72.7,127,0,False Alarm
28.8,64.6,90,0,False Alarm
35,51.8,304,0,False Alarm
31.8,74.8,253,0,False Alarm
37.8,66.8,305,0,False Alarm
37.2,55.6,100,0,False Alarm
36.7,73.7,243,0,False Alarm
27.8,79.9,96,0,False Alarm
36.2,59,157,0,False Alarm
34.4,80,264,0,False Alarm
37.2,58.2,86,0,False Alarm
26.9,60.2,235,1,False Alarm
28.2,60.6,155,0,False Alarm
33.5,64,305,0,False Alarm
33.3,60.1,249,0,False Alarm
36.1,76.1,92,0,False Alarm
24,70.7,209,0,False Alarm
30.5,59.9,203,0,False Alarm
35.7,59.8,129,0,False Alarm
26.5,53.7,190,0,False Alarm
24.7,67.5,264,0,False Alarm
33,60.1,196,0,False Alarm
29.4,59.1,221,0,False Alarm
26.7,50.6,232,0,False Alarm
27.3,52.3,250,0,False Alarm
36.3,60.3,201,0,False Alarm
36.9,56.2,268,0,False Alarm
27.4,57.8,233,0,False Alarm
37.6,52.7,185,0,False Alarm
24,49.6,111,0,False Alarm
26,51.8,260,0,False Alarm
35.4,50.9,247,0,False Alarm
34.6,49.9,139,0,False Alarm
30.7,76,222,0,False Alarm
24.2,73,316,0,False Alarm
32.4,51.7,82,0,False Alarm
34.2,49.5,168,0,False Alarm
33.5,58.9,306,0,False Alarm
23.2,45.5,158,0,False Alarm
33,58.2,110,0,False Alarm
32,48.1,201,0,False Alarm
23.9,64.8,300,0,False Alarm
32,69.6,104,0,False Alarm
24.4,71.7,91,0,False Alarm
25,67.8,167,0,False Alarm
34.8,66.8,314,0,False Alarm
25.2,46.6,319,0,False Alarm
31,76.2,92,0,False Alarm
32.8,52.6,258,0,False Alarm
33.1,73.3,315,0,False Alarm
25.4,54.8,187,1,False Alarm
26.8,66.8,92,0,False Alarm
37.5,54.4,203,1,False Alarm
22.2,59.6,312,1,False Alarm
23.8,48.8,80,0,False Alarm
31.1,58.6,206,0,False Alarm
32.5,56.7,235,0,False Alarm
22.3,62,167,0,False Alarm
32.8,50.8,199,0,False Alarm
24.8,78.4,103,0,False Alarm
37.9,68.8,214,0,False Alarm
28,45.5,260,0,False Alarm
26,71,187,0,False Alarm
34.9,76.6,230,0,False Alarm
34.1,69.8,167,0,False Alarm
37.6,49.2,151,0,False Alarm
36.5,49.7,166,0,False Alarm
36.8,60.7,278,0,False Alarm
22.2,59.9,99,0,False Alarm
35.3,53.1,166,0,False Alarm
31.4,58.7,244,0,False Alarm
22.7,72.4,217,0,False Alarm
30.6,68.5,264,0,False Alarm
31.5,49.7,224,0,False Alarm
28.2,47.7,174,0,False Alarm
32.5,76.7,160,0,False Alarm
36.7,55,217,0,False Alarm
35.2,70.7,319,0,False Alarm
27.6,70.3,171,0,False Alarm
29,45.6,186,0,False Alarm
31,65.6,153,0,False Alarm
33,57.5,217,0,False Alarm
35.2,52,202,0,False Alarm
35.4,49.1,317,0,False Alarm
22.9,75.9,166,0,False Alarm
25.4,51.5,307,0,False Alarm
32.8,53.4,108,0,False Alarm
34.1,45.6,186,0,False Alarm
32.2,54.5,243,0,False Alarm
31.6,47.9,107,0,False Alarm
33.5,69.2,215,0,False Alarm
25.6,53.5,244,0,False Alarm
33.8,69.5,206,0,False Alarm
32.5,68.9,298,0,False Alarm
32.3,62.5,218,0,False Alarm
25.8,69.5,109,0,False Alarm
34.2,49.8,107,0,False Alarm
29,77.3,99,0,False Alarm
34.3,73,90,0,False Alarm
32,56.2,219,0,False Alarm
30.9,76,111,0,False Alarm
29.9,76,251,0,False Alarm
27.8,55.6,181,0,False Alarm
30.1,68.5,157,1,False Alarm
31.1,71.4,287,0,False Alarm
24.1,49.1,271,0,False Alarm
31.9,64.3,268,0,False Alarm
32.3,58.6,260,0,False Alarm
36.7,49.9,293,0,False Alarm
31.1,47.3,156,0,False Alarm
28.8,50.6,130,0,False Alarm
30,79.2,192,0,False Alarm
29.6,45.9,308,0,False Alarm
29.3,62.1,153,0,False Alarm
23.4,56,185,0,False Alarm
23.7,74.9,155,0,False Alarm
30.8,48.5,123,0,False Alarm
34.6,78.8,186,0,False Alarm
29,79.7,240,0,False Alarm
36.5,68.3,156,0,False Alarm
23.4,69,171,0,False Alarm
29,75.8,288,0,False Alarm
35.4,60.6,144,0,False Alarm
32.1,58.1,265,0,False Alarm
35.6,53.3,219,0,False Alarm
34.7,48.5,155,0,False Alarm
31.3,60.6,183,0,False Alarm
35.2,56.7,208,0,False Alarm
38,72.8,285,0,False Alarm
29.6,69.4,207,0,False Alarm
25.8,71.2,207,0,False Alarm
33.2,51.5,290,0,False Alarm
25.5,48.3,109,0,False Alarm
23.4,77.1,283,0,False Alarm
28,75.4,88,0,False Alarm
29.2,58.9,226,0,False Alarm
36.6,74.6,143,0,False Alarm
30.3,57.4,103,0,False Alarm
33.3,76.9,120,1,False Alarm
31.1,79.1,275,0,False Alarm
31.1,57.8,139,0,False Alarm
25.4,75.1,161,0,False Alarm
37.1,75.4,91,0,False Alarm
32.6,63.7,133,0,False Alarm
24.2,46,182,0,False Alarm
36.8,46.5,211,0,False Alarm
38,79,312,0,False Alarm
34,72.9,180,0,False Alarm
22.9,67.2,183,0,False Alarm
24.4,75.8,150,0,False Alarm
30.1,51.3,293,0,False Alarm
26.9,62.1,197,0,False Alarm
33.1,56.5,298,0,False Alarm
30.8,78.4,194,0,False Alarm
35.1,58.3,255,0,False Alarm
36.3,50.7,159,0,False Alarm
29.2,67.7,211,1,False Alarm
23.7,49.7,244,0,False Alarm
33.8,58,163,0,False Alarm
24.4,76.3,214,0,False Alarm
29.7,72.8,196,0,False Alarm
36.2,75.8,284,0,False Alarm
24.6,76.6,144,0,False Alarm
24.4,46.8,117,0,False Alarm
35.6,70.9,128,0,False Alarm
37.1,61,96,0,False Alarm
32.3,67.7,273,0,False Alarm
31.7,70.5,170,0,False Alarm
35.2,52.7,262,0,False Alarm
32.9,76.8,142,0,False Alarm
34.8,60.5,289,0,False Alarm
35.9,77.1,107,0,False Alarm
25.5,45.1,295,0,False Alarm
33.2,76.4,216,1,False Alarm
33.6,77.5,267,0,False Alarm
23.2,68.5,199,0,False Alarm
30.5,56.9,307,0,False Alarm
26.7,46.8,240,0,False Alarm
29.7,66.9,287,0,False Alarm
31.4,75.2,245,0,False Alarm
30.6,49.2,310,0,False Alarm
35.4,78.7,135,0,False Alarm
32.4,70.7,170,0,False Alarm
24.1,45.7,199,0,False Alarm
37.2,60.4,242,0,False Alarm
37.5,51.4,174,0,False Alarm
27.4,78.3,303,0,False Alarm
22.6,47.5,185,0,False Alarm
25.8,46.8,248,0,False Alarm
33.4,76.2,223,0,False Alarm
23.8,45.7,147,0,False Alarm
32.8,77.1,275,0,False Alarm
24,70.7,212,0,False Alarm
25,50.5,262,0,False Alarm
33.6,72.9,145,0,False Alarm
22.5,50.4,294,0,False Alarm
26.8,62.9,202,0,False Alarm
27.1,63.9,180,0,False Alarm
35.5,48.7,180,0,False Alarm
36.5,74.1,197,0,False Alarm
24.2,61.4,307,0,False Alarm
30.3,55.1,243,0,False Alarm
26.7,57.1,135,0,False Alarm
31.9,69.9,209,0,False Alarm
24.1,69.3,142,0,False Alarm
28.5,70.7,115,0,False Alarm
27.1,62.2,153,0,False Alarm
33.9,73.2,188,0,False Alarm
27,74.7,259,0,False Alarm
25.4,65.7,95,1,False Alarm
35.3,60,269,0,False Alarm
27,62.5,185,0,False Alarm
31.1,61.1,277,0,False Alarm
31.2,56.2,83,0,False Alarm
27.2,57.6,315,1,False Alarm
37.7,65.9,162,0,False Alarm
36.3,56.7,225,0,False Alarm
37.5,79.1,259,0,False Alarm
32.2,53.7,160,0,False Alarm
37.2,51,146,0,False Alarm
22.9,51.1,202,0,False Alarm
37.8,53.5,157,0,False Alarm
35.4,56.9,137,0,False Alarm
31.8,46.1,87,0,False Alarm
23.4,55.5,99,0,False Alarm
36.3,68.2,119,0,False Alarm
33.4,55,218,0,False Alarm
37.8,46.3,190,0,False Alarm
23.4,50.5,314,0,False Alarm
23.4,47,200,0,False Alarm
22.2,66.6,305,0,False Alarm
33.7,76.4,302,0,False Alarm
25.5,48.6,294,0,False Alarm
23.5,55.4,303,0,False Alarm
30.2,62.4,513,0,Smoke Warning
42,64.9,331,0,Smoke Warning
45.9,37.7,575,0,Smoke Warning
31,41.5,376,1,Smoke Warning
44.4,47.7,638,0,Smoke Warning
43.1,51.1,606,0,Smoke Warning
36.5,64.1,363,0,Smoke Warning
32.6,59.3,348,0,Smoke Warning
34.1,52.6,586,1,Smoke Warning
38.7,59,646,1,Smoke Warning
41,39.2,567,0,Smoke Warning
32.3,49.1,506,1,Smoke Warning
47.2,60.8,601,0,Smoke Warning
36,54.6,543,0,Smoke Warning
30.9,57.7,438,0,Smoke Warning
46.1,38.6,539,1,Smoke Warning
30.6,64.4,402,0,Smoke Warning
37.5,64,504,0,Smoke Warning
37.9,63.5,542,0,Smoke Warning
44.3,41.6,549,0,Smoke Warning
37.6,38,626,0,Smoke Warning
47.3,46.5,475,0,Smoke Warning
46.6,44.9,371,0,Smoke Warning
38.3,43.7,368,0,Smoke Warning
38.7,55,526,1,Smoke Warning
34.4,37.4,517,0,Smoke Warning
35.7,60.4,405,0,Smoke Warning
47.8,37.3,546,0,Smoke Warning
31.3,48.5,418,0,Smoke Warning
33.5,46.1,366,0,Smoke Warning
39.4,54.4,505,1,Smoke Warning
45.1,59.5,501,1,Smoke Warning
44.9,40.2,363,1,Smoke Warning
40.9,51,536,0,Smoke Warning
39.3,63.1,639,1,Smoke Warning
32.7,37.1,519,0,Smoke Warning
41.7,44,540,1,Smoke Warning
30.3,44.8,425,1,Smoke Warning
40,63.9,531,0,Smoke Warning
39.6,49.9,378,0,Smoke Warning
35.6,37.6,508,0,Smoke Warning
47.6,51.5,401,0,Smoke Warning
44.5,63,420,0,Smoke Warning
37.3,64.9,489,0,Smoke Warning
31,56.1,469,0,Smoke Warning
32.9,50.6,371,0,Smoke Warning
45.8,64.6,513,0,Smoke Warning
46.3,36.2,588,1,Smoke Warning
44.2,48.9,587,1,Smoke Warning
39.2,58.3,608,1,Smoke Warning
31.4,38.5,397,1,Smoke Warning
30.8,36.2,557,0,Smoke Warning
38.4,40.1,505,0,Smoke Warning
31.1,53.3,440,0,Smoke Warning
47.3,36.6,630,0,Smoke Warning
47.6,52.4,533,0,Smoke Warning
32.3,42.8,480,0,Smoke Warning
33.5,48.1,632,0,Smoke Warning
45,45,478,1,Smoke Warning
35.6,36.3,476,0,Smoke Warning
35,35.3,387,0,Smoke Warning
38.9,64.3,636,1,Smoke Warning
32.2,35.4,363,0,Smoke Warning
45.1,61.4,370,0,Smoke Warning
38.6,48.4,637,0,Smoke Warning
40.2,58,448,1,Smoke Warning
34.1,43.1,648,0,Smoke Warning
32.6,44,483,0,Smoke Warning
40.7,38,557,0,Smoke Warning
37.3,62,416,1,Smoke Warning
35.5,43.7,593,1,Smoke Warning
36,49.6,471,0,Smoke Warning
33.7,64,510,0,Smoke Warning
31.5,55.2,416,0,Smoke Warning
41.6,39.4,492,0,Smoke Warning
47.7,41.9,340,0,Smoke Warning
39.6,40.6,605,0,Smoke Warning
33.1,39.8,360,0,Smoke Warning
33.2,59.2,484,0,Smoke Warning
47,40.6,553,0,Smoke Warning
44.9,36.2,497,1,Smoke Warning
43.2,53.3,595,0,Smoke Warning
45,40.9,434,0,Smoke Warning
37.1,36.3,384,1,Smoke Warning
34.7,35,537,1,Smoke Warning
41.3,56.1,580,1,Smoke Warning
45.7,64.5,551,0,Smoke Warning
33.5,64.7,511,0,Smoke Warning
38.1,58,457,0,Smoke Warning
